Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
MARDİN ARTUKLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Kürt Dili ve Edebiyatı (4 Yıllık),MARDİN,202502,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),İZMİR,203050,SOZ
GAZİANTEP ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),GAZİANTEP,204840,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),AYDIN,205841,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),BURSA,206838,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),KONYA,207423,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Polatlı Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,209851,SOZ
ERCİYES ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KAYSERİ,212007,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (İÖ) (4 Yıllık),BURDUR,213073,SOZ
ARTVİN ÇORUH ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),ARTVİN,213118,SOZ
SELÇUK ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (İÖ) (4 Yıllık),KONYA,213526,SOZ
GAZİANTEP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),GAZİANTEP,214622,SOZ
SELÇUK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KONYA,214738,SOZ
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Zile Dinçerler Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),TOKAT,214748,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ESKİŞEHİR,216830,SOZ
ATATÜRK ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),ERZURUM,216888,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),SİVAS,217161,SOZ
ANKARA ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Sanat Tarihi (Uzaktan Öğretim) (4 Yıllık),ANKARA,218472,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),OSMANİYE,218984,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Fotoğraf ve Video (4 Yıllık),ANKARA,219098,SOZ
İZMİR DEMOKRASİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İZMİR,220018,SOZ
"MUNZUR ÜNİVERSİTESİ Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi Akademik Kadro",Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),TUNCELİ,224476,SOZ
SELÇUK ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),KONYA,228807,SOZ
FIRAT ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ELAZIĞ,230290,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Kemaliye Hacı Ali Akın Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),ERZİNCAN,231438,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),BURSA,232649,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Sümeroloji (4 Yıllık),ANKARA,232744,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ÇANAKKALE,233335,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (İÖ) (4 Yıllık),İZMİR,233845,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Reklamcılık (4 Yıllık),KOCAELİ,234486,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ÇANAKKALE,236894,SOZ
GAZİANTEP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (Arapça) (M.T.O.K.) (4 Yıllık),GAZİANTEP,238471,SOZ
ANKARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,238769,SOZ
SAKARYA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",SAKARYA,241259,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ KKTC Akademik Birim (Lefkoşa) Akademik Kadro,Özel Eğitim Öğretmenliği (Ücretli) (4 Yıllık),ANKARA,241434,SOZ
MERSİN ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",MERSİN,241691,SOZ
PAMUKKALE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),DENİZLİ,242211,SOZ
KARADENİZ TEKNİK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),TRABZON,242771,SOZ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),AĞRI,243418,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),AYDIN,244215,SOZ
TRABZON ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),TRABZON,244778,SOZ
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),SAKARYA,245262,SOZ
İSTANBUL ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (Uzaktan Öğretim) (4 Yıllık)",İSTANBUL,245881,SOZ
PAMUKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),DENİZLİ,245985,SOZ
ANADOLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ESKİŞEHİR,246056,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KONYA,246173,SOZ
SAKARYA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,İletişim ve Tasarımı (4 Yıllık),SAKARYA,246570,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),NEVŞEHİR,246981,SOZ
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Halkbilimi (4 Yıllık),ANKARA,247054,SOZ
SELÇUK ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Çizgi Film ve Animasyon (4 Yıllık),KONYA,247901,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (İÖ) (4 Yıllık),ANTALYA,248390,SOZ
DÜZCE ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),DÜZCE,249062,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BOLU,249455,SOZ
ADIYAMAN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ADIYAMAN,252354,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ISPARTA,253369,SOZ
ADIYAMAN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),ADIYAMAN,253811,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ÇANAKKALE,255210,SOZ
İNÖNÜ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),MALATYA,256947,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Çizgi Film ve Animasyon (4 Yıllık),BURDUR,257328,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),SAMSUN,259604,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),ÇANAKKALE,259861,SOZ
YALOVA ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),YALOVA,259909,SOZ
AKDENİZ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Rekreasyon Yönetimi (Fakülte) (4 Yıllık),ANTALYA,259971,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),SAMSUN,261023,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),KÜTAHYA,262221,SOZ
İNÖNÜ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),MALATYA,263044,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),BOLU,266741,SOZ
GAZİANTEP ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),GAZİANTEP,266838,SOZ
ATATÜRK ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),ERZURUM,270061,SOZ
DİCLE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),DİYARBAKIR,270333,SOZ
KAFKAS ÜNİVERSİTESİ Sarıkamış Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KARS,270709,SOZ
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Ömer Seyfettin Uygulamalı Bilimler Fakültesi Akademik Kadro,Yeni Medya ve İletişim (4 Yıllık),BALIKESİR,275464,SOZ
SELÇUK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",KONYA,275723,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),MANİSA,275808,SOZ
GAZİANTEP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),GAZİANTEP,277232,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),ISPARTA,279855,SOZ
ATATÜRK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ERZURUM,280222,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Polatlı Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANKARA,281272,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),MANİSA,281274,SOZ
SAKARYA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),SAKARYA,282556,SOZ
BALIKESİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BALIKESİR,282973,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),VAN,283322,SOZ
SİİRT ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),SİİRT,283554,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,283581,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ANTALYA,283669,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),KOCAELİ,285002,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (İÖ) (4 Yıllık)",ÇANAKKALE,285115,SOZ
AMASYA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),AMASYA,285927,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),MANİSA,286377,SOZ
SELÇUK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),KONYA,288195,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),HATAY,289183,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ISPARTA,291152,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Çağdaş Türk Lehçeleri ve Edebiyatları (4 Yıllık),ANKARA,291986,SOZ
ATATÜRK ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),ERZURUM,292216,SOZ
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),GAZİANTEP,293531,SOZ
İZMİR BAKIRÇAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),İZMİR,293990,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KONYA,294291,SOZ
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),TEKİRDAĞ,295805,SOZ
KOCAELİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),KOCAELİ,296740,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KAHRAMANMARAŞ,297364,SOZ
MARDİN ARTUKLU ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),MARDİN,297425,SOZ
HARRAN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ŞANLIURFA,298392,SOZ
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),TEKİRDAĞ,298993,SOZ
İNÖNÜ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),MALATYA,302253,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (İÖ) (4 Yıllık),AYDIN,302886,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Halkbilimi (4 Yıllık),ANKARA,304216,SOZ
HARRAN ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),ŞANLIURFA,306769,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),ÇANAKKALE,308810,SOZ
YALOVA ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Yeni Medya ve İletişim (4 Yıllık),YALOVA,309463,SOZ
ÇUKUROVA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),ADANA,309828,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",BOLU,309988,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Görsel Sanatlar (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,311668,SOZ
KIRIKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KIRIKKALE,312061,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),RİZE,313066,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),MUĞLA,314276,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İletişim Fakültesi (Çarşamba) Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",SAMSUN,315649,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),SAMSUN,318061,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),BURSA,319506,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (İÖ) (4 Yıllık),BURSA,320063,SOZ
ANKARA ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (Uzaktan Öğretim) (4 Yıllık)",ANKARA,320342,SOZ
İNÖNÜ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),MALATYA,320781,SOZ
BALIKESİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),BALIKESİR,322290,SOZ
SİNOP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),SİNOP,322350,SOZ
SAKARYA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),SAKARYA,322686,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),İZMİR,325981,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Tarih (4 Yıllık),İZMİR,325999,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),MANİSA,326398,SOZ
SAKARYA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),SAKARYA,326887,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),BURDUR,329607,SOZ
TRAKYA ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,İletişim ve Tasarımı (4 Yıllık),EDİRNE,330403,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),AYDIN,331446,SOZ
İSTANBUL ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Gazetecilik (Uzaktan Öğretim) (4 Yıllık),İSTANBUL,331702,SOZ
ÇUKUROVA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,İletişim Bilimleri (4 Yıllık),ADANA,333081,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),KAHRAMANMARAŞ,333319,SOZ
TRAKYA ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),EDİRNE,333378,SOZ
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Ömer Seyfettin Uygulamalı Bilimler Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),BALIKESİR,333634,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),MUĞLA,333836,SOZ
KARADENİZ TEKNİK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),TRABZON,333942,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ERZİNCAN,334846,SOZ
"SAMSUN ÜNİVERSİTESİ İktisadi, İdari ve Sosyal Bilimler Fakültesi Akademik Kadro",Türk Dili ve Edebiyatı (4 Yıllık),SAMSUN,335222,SOZ
HARRAN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ŞANLIURFA,335581,SOZ
PAMUKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),DENİZLİ,337038,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),MUĞLA,337917,SOZ
ORDU ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ORDU,338734,SOZ
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BALIKESİR,339985,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İletişim Fakültesi (Çarşamba) Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),SAMSUN,340241,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),AFYONKARAHİSAR,340399,SOZ
MERSİN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),MERSİN,341123,SOZ
ATATÜRK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ERZURUM,341286,SOZ
KIRIKKALE ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),KIRIKKALE,341627,SOZ
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),NİĞDE,342591,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ISPARTA,342782,SOZ
ERCİYES ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),KAYSERİ,343603,SOZ
İZMİR BAKIRÇAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İZMİR,344422,SOZ
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),TEKİRDAĞ,345065,SOZ
HARRAN ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),ŞANLIURFA,345676,SOZ
AKDENİZ ÜNİVERSİTESİ Manavgat Turizm Fakültesi Akademik Kadro,Rekreasyon Yönetimi (Fakülte) (4 Yıllık),ANTALYA,346343,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),OSMANİYE,346873,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),ISPARTA,347139,SOZ
