Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),HATAY,29066,SOZ
ANKARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ANKARA,29196,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),SİVAS,29500,SOZ
FIRAT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ELAZIĞ,29522,SOZ
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),TRABZON,29545,SOZ
UŞAK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),UŞAK,29735,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KAHRAMANMARAŞ,29892,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),İZMİR,29965,SOZ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),AĞRI,30046,SOZ
TRAKYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),EDİRNE,30416,SOZ
DÜZCE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),DÜZCE,30489,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),BURDUR,30821,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KONYA,30846,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KÜTAHYA,31274,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ZONGULDAK,31389,SOZ
AKSARAY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),AKSARAY,31498,SOZ
